epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1356.19,0.91795,3.16643,0.99115,1.2641,0.81586,0.54799,0.62651,0.5369,0.43319,0.27712,0.20538,0.1144,1.05365,3.31883,1.32115,1.17509,0.0097129,0.0097129,0.0097129
31,1399.62,0.88912,3.23557,0.9799,1.2528,0.75903,0.55492,0.60742,0.51714,0.40176,0.26618,0.17999,0.09396,1.07451,3.3385,1.54881,1.19972,0.009703,0.009703,0.009703
32,1444.85,0.92865,3.19106,0.99995,1.26023,0.73279,0.57291,0.61903,0.53362,0.34392,0.26966,0.17661,0.10035,1.07717,3.28663,1.33397,1.20293,0.0096931,0.0096931,0.0096931
33,1487.56,0.89368,3.17971,0.96578,1.25348,0.66944,0.5888,0.61726,0.52722,0.34724,0.312,0.18697,0.10573,1.07685,3.24676,1.36132,1.18671,0.0096832,0.0096832,0.0096832
34,1531,0.89356,3.1912,0.96599,1.25629,0.68364,0.6021,0.62458,0.53325,0.37399,0.33619,0.20638,0.11594,1.0575,3.36234,1.37059,1.15767,0.0096733,0.0096733,0.0096733
35,1575.12,0.89195,3.18277,0.97502,1.25304,0.71352,0.56278,0.621,0.53455,0.3094,0.29193,0.1747,0.09379,1.05511,3.27404,1.34113,1.17936,0.0096634,0.0096634,0.0096634
36,1618.89,0.901,3.14167,0.97435,1.26404,0.78107,0.56993,0.6229,0.53931,0.44673,0.29923,0.20727,0.11527,1.04942,3.20534,1.37404,1.17919,0.0096535,0.0096535,0.0096535
37,1661.87,0.89102,3.1436,0.94297,1.24167,0.75407,0.57521,0.61781,0.52794,0.34028,0.25204,0.16226,0.09215,1.06788,3.31106,1.34688,1.18244,0.0096436,0.0096436,0.0096436
38,1705.64,0.89991,3.11505,0.96188,1.25475,0.71365,0.60482,0.64291,0.53348,0.37789,0.3324,0.21129,0.11597,1.1038,3.23561,1.35482,1.21279,0.0096337,0.0096337,0.0096337
39,1749.51,0.89112,3.14949,0.96131,1.25916,0.67299,0.59869,0.63524,0.53748,0.35611,0.31276,0.21939,0.11205,1.06407,3.26901,1.31322,1.16907,0.0096238,0.0096238,0.0096238
40,1793.3,0.89414,3.12974,0.95792,1.25895,0.71856,0.59688,0.6454,0.54931,0.34482,0.30002,0.17964,0.09701,1.04724,3.29198,1.28896,1.17743,0.0096139,0.0096139,0.0096139
41,1836.97,0.88881,3.1418,0.94547,1.25403,0.683,0.60129,0.63453,0.53333,0.38346,0.3333,0.21397,0.11528,1.04375,3.24286,1.28369,1.16784,0.009604,0.009604,0.009604
42,1881.31,0.89993,3.08144,0.9614,1.26516,0.72531,0.61049,0.65183,0.54649,0.42755,0.34195,0.26312,0.14749,1.05852,3.3178,1.33979,1.1644,0.0095941,0.0095941,0.0095941
43,1925.41,0.87283,3.12753,0.93889,1.24614,0.7952,0.56936,0.63417,0.5453,0.44241,0.27259,0.21479,0.12386,1.03547,3.21152,1.3416,1.15571,0.0095842,0.0095842,0.0095842
44,1969.18,0.87213,3.07012,0.92735,1.24886,0.73186,0.5849,0.62375,0.53589,0.41011,0.30133,0.20788,0.1143,1.06698,3.35693,1.34526,1.18566,0.0095743,0.0095743,0.0095743
45,2013.75,0.86929,3.13419,0.94137,1.23684,0.71312,0.60088,0.63663,0.53734,0.40079,0.33604,0.22773,0.12541,1.06275,3.37913,1.3512,1.16772,0.0095644,0.0095644,0.0095644
46,2057.44,0.89365,3.10683,0.95073,1.24437,0.75409,0.56437,0.63291,0.5383,0.39776,0.28809,0.24074,0.14728,1.04282,3.24134,1.41936,1.17158,0.0095545,0.0095545,0.0095545
47,2101.09,0.87693,3.12376,0.95607,1.24331,0.69557,0.62109,0.64238,0.55013,0.3593,0.329,0.19943,0.10337,1.03911,3.26634,1.28989,1.15525,0.0095446,0.0095446,0.0095446
48,2145.83,0.87998,3.0525,0.92272,1.23566,0.68403,0.61851,0.64078,0.5475,0.37278,0.34077,0.22282,0.12719,1.04639,3.29414,1.29311,1.16338,0.0095347,0.0095347,0.0095347
49,2190.09,0.8984,3.02823,0.94359,1.2421,0.71028,0.60839,0.63932,0.5451,0.40942,0.34029,0.22053,0.12141,1.02117,3.28659,1.28764,1.14847,0.0095248,0.0095248,0.0095248
50,2233.9,0.86093,3.0299,0.92036,1.23045,0.69421,0.6135,0.65246,0.54994,0.37568,0.35348,0.22495,0.12078,1.06015,3.26819,1.29541,1.17618,0.0095149,0.0095149,0.0095149
51,2277.93,0.87151,3.0601,0.92782,1.23624,0.68419,0.57931,0.62854,0.53646,0.29509,0.28198,0.18726,0.10945,1.06817,3.29008,1.29257,1.19781,0.009505,0.009505,0.009505
52,2322.01,0.88617,3.06862,0.94313,1.2502,0.69831,0.61149,0.64373,0.5386,0.40571,0.34078,0.21741,0.11261,1.08146,3.30665,1.4198,1.18491,0.0094951,0.0094951,0.0094951
53,2365.75,0.8589,3.04223,0.90716,1.233,0.7519,0.59036,0.62639,0.53298,0.36635,0.26222,0.17795,0.10011,1.04978,3.24551,1.34863,1.16549,0.0094852,0.0094852,0.0094852
54,2409.55,0.84563,3.05217,0.90046,1.21982,0.72897,0.58111,0.63405,0.54554,0.35618,0.28639,0.18167,0.10515,1.05795,3.25725,1.30911,1.18702,0.0094753,0.0094753,0.0094753
55,2453.22,0.84778,3.0806,0.9077,1.22085,0.73492,0.60116,0.64128,0.54817,0.36092,0.32111,0.20338,0.11132,1.03994,3.30302,1.27291,1.15838,0.0094654,0.0094654,0.0094654
56,2496.06,0.85883,3.01069,0.91542,1.23107,0.6937,0.5585,0.61584,0.52513,0.40532,0.27791,0.20595,0.11681,1.05489,3.28201,1.41438,1.16355,0.0094555,0.0094555,0.0094555
57,2539.52,0.84717,3.02577,0.89182,1.22682,0.73521,0.61647,0.64927,0.55215,0.42774,0.34363,0.22923,0.12102,1.03568,3.29127,1.31657,1.16541,0.0094456,0.0094456,0.0094456
58,2582.51,0.80344,3.00921,0.86527,1.22225,0.76959,0.54986,0.59857,0.5247,0.36433,0.24166,0.15327,0.08163,1.05761,3.30429,1.42096,1.17978,0.0094357,0.0094357,0.0094357
59,2626.99,0.8417,3.03294,0.87751,1.21975,0.76521,0.56706,0.62806,0.54334,0.41627,0.27699,0.18754,0.10322,1.008,3.27973,1.33219,1.12999,0.0094258,0.0094258,0.0094258
60,2670.35,0.83513,3.04978,0.90139,1.21985,0.72817,0.58642,0.64765,0.54725,0.40162,0.32264,0.23337,0.12739,1.04629,3.2797,1.25233,1.15767,0.0094159,0.0094159,0.0094159
61,2715.44,0.84139,3.02132,0.88176,1.20905,0.6882,0.60596,0.63797,0.54679,0.37575,0.36098,0.23217,0.13076,1.04911,3.46375,1.36118,1.1626,0.009406,0.009406,0.009406
62,2759.21,0.87099,3.03188,0.92129,1.23158,0.67528,0.60851,0.64198,0.554,0.32374,0.31819,0.1924,0.10491,1.04388,3.21619,1.28542,1.15523,0.0093961,0.0093961,0.0093961
63,2803.72,0.86171,2.97831,0.89267,1.21935,0.76451,0.55886,0.61876,0.53992,0.38329,0.25505,0.17273,0.09597,1.01345,3.29549,1.3704,1.13157,0.0093862,0.0093862,0.0093862
64,2847.21,0.8423,2.956,0.88406,1.2052,0.73156,0.60231,0.63741,0.54493,0.36222,0.3206,0.19354,0.10547,1.02365,3.33175,1.35222,1.13387,0.0093763,0.0093763,0.0093763
65,2890.62,0.80721,2.99056,0.85459,1.21077,0.69127,0.63039,0.65357,0.55585,0.37348,0.33357,0.21611,0.1148,1.02711,3.23104,1.27191,1.14147,0.0093664,0.0093664,0.0093664
66,2935.14,0.86929,2.92773,0.8936,1.219,0.7015,0.6203,0.63698,0.54297,0.36848,0.3309,0.19734,0.10223,1.05398,3.38752,1.25986,1.15769,0.0093565,0.0093565,0.0093565
67,2978.33,0.80355,2.9936,0.86825,1.2123,0.74928,0.59812,0.64709,0.55396,0.40058,0.31862,0.21061,0.11433,1.03905,3.21909,1.21274,1.15161,0.0093466,0.0093466,0.0093466
68,3021.86,0.82754,2.96934,0.85184,1.21032,0.68037,0.63168,0.63304,0.54342,0.36424,0.35047,0.20769,0.11316,1.04571,3.35533,1.34356,1.14925,0.0093367,0.0093367,0.0093367
69,3065.77,0.81827,3.00371,0.8729,1.2103,0.65162,0.60211,0.64225,0.55636,0.36246,0.34893,0.22074,0.11889,1.01767,3.27485,1.23416,1.1203,0.0093268,0.0093268,0.0093268
70,3109.73,0.82683,2.97054,0.87031,1.21248,0.70949,0.60004,0.63938,0.5424,0.34132,0.30621,0.19327,0.10919,1.02565,3.23499,1.22716,1.14983,0.0093169,0.0093169,0.0093169
71,3154.33,0.86424,2.93981,0.89458,1.21722,0.67692,0.58901,0.63647,0.54801,0.36792,0.3453,0.2338,0.13316,1.0222,3.34591,1.2624,1.13683,0.009307,0.009307,0.009307
72,3198.31,0.81735,2.91439,0.8419,1.1927,0.68362,0.61513,0.63893,0.54754,0.33856,0.31183,0.1836,0.09663,1.04749,3.39346,1.25332,1.14374,0.0092971,0.0092971,0.0092971
73,3241.89,0.79977,2.95638,0.84933,1.20017,0.67542,0.63979,0.65115,0.55612,0.37186,0.3673,0.22835,0.12459,1.00679,3.30163,1.19556,1.12512,0.0092872,0.0092872,0.0092872
74,3284.91,0.8205,2.96245,0.85234,1.20673,0.68131,0.60264,0.64545,0.54515,0.34967,0.33062,0.2064,0.109,1.05247,3.3272,1.27022,1.15441,0.0092773,0.0092773,0.0092773
75,3327.55,0.80772,2.92012,0.82779,1.19015,0.70582,0.60384,0.64474,0.54771,0.37436,0.31285,0.20801,0.11193,1.03139,3.32255,1.26888,1.13256,0.0092674,0.0092674,0.0092674
