epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,5639.15,0.76756,2.61367,0.72886,1.14994,0.6806,0.6357,0.64603,0.54917,0.3786,0.36865,0.23955,0.13554,1.06484,3.55285,1.25165,1.18311,0.0087427,0.0087427,0.0087427
129,5682.99,0.72162,2.59611,0.70161,1.15059,0.70223,0.62324,0.64169,0.54673,0.38241,0.3476,0.21153,0.11415,1.0623,3.50959,1.22744,1.17538,0.0087328,0.0087328,0.0087328
130,5727.52,0.76576,2.57575,0.73146,1.16163,0.68718,0.6195,0.63276,0.54684,0.36457,0.32562,0.19459,0.10504,1.06424,3.61842,1.28604,1.16802,0.0087229,0.0087229,0.0087229
131,5770.84,0.72509,2.6444,0.70514,1.14178,0.66963,0.6065,0.62024,0.54004,0.35507,0.3293,0.19801,0.10981,1.04841,3.70764,1.29179,1.15365,0.008713,0.008713,0.008713
132,5814.78,0.75325,2.57245,0.71516,1.15771,0.68466,0.60518,0.62216,0.5381,0.32535,0.2933,0.1654,0.08741,1.07031,3.84361,1.28372,1.16805,0.0087031,0.0087031,0.0087031
133,5857.98,0.76611,2.56023,0.7124,1.15544,0.70577,0.59622,0.61787,0.5385,0.35991,0.28979,0.18786,0.10974,1.04563,3.75332,1.29418,1.14901,0.0086932,0.0086932,0.0086932
134,5902.19,0.73941,2.62763,0.699,1.15246,0.68337,0.62819,0.63703,0.54669,0.38059,0.34402,0.22268,0.12121,1.0548,3.58423,1.25235,1.16859,0.0086833,0.0086833,0.0086833
135,5945.81,0.73083,2.62174,0.71512,1.15308,0.69653,0.61501,0.6352,0.54585,0.37612,0.34722,0.2195,0.11871,1.04243,3.43854,1.24355,1.14644,0.0086734,0.0086734,0.0086734
136,5988.63,0.7288,2.5963,0.6925,1.13882,0.65115,0.60045,0.61987,0.53552,0.34501,0.31739,0.19913,0.10559,1.07391,3.43808,1.29259,1.1884,0.0086635,0.0086635,0.0086635
137,6032.79,0.7628,2.51385,0.72358,1.15354,0.68929,0.60336,0.62513,0.54268,0.36104,0.32612,0.20912,0.11512,1.07026,3.67935,1.28147,1.17444,0.0086536,0.0086536,0.0086536
138,6075.81,0.72457,2.538,0.68317,1.13345,0.68917,0.59552,0.62163,0.53642,0.37426,0.33543,0.22674,0.12964,1.05975,3.48797,1.27763,1.16799,0.0086437,0.0086437,0.0086437
139,6119.43,0.73736,2.53409,0.69084,1.1391,0.67242,0.61406,0.6207,0.53678,0.35303,0.32574,0.22337,0.1353,1.05112,3.5132,1.30682,1.16828,0.0086338,0.0086338,0.0086338
140,6163.21,0.75904,2.54048,0.71783,1.15636,0.67353,0.609,0.62808,0.5409,0.36197,0.34166,0.2331,0.13181,1.11713,3.42789,1.33287,1.22675,0.0086239,0.0086239,0.0086239
141,6207.98,0.75128,2.57525,0.71096,1.15515,0.71571,0.58529,0.6215,0.53886,0.39466,0.32806,0.23657,0.13836,1.06486,3.68261,1.28736,1.17012,0.008614,0.008614,0.008614
142,6252.28,0.74319,2.53509,0.69928,1.14868,0.6904,0.60956,0.6273,0.5409,0.36045,0.31137,0.22006,0.12499,1.07836,3.57929,1.3494,1.17907,0.0086041,0.0086041,0.0086041
